mode,run_tag,regime_clustering,knn_metric,pca_k,tau,k_neighbors,primary_metric,model_mean,mix_mean,model_stein_mean,mix_stein_mean,model_logeuc_mean,mix_logeuc_mean,model_gmvp_sharpe_mean,mix_gmvp_sharpe_mean,roll_gmvp_sharpe_mean,pers_gmvp_sharpe_mean,shrink_gmvp_sharpe_mean,model_gmvp_var_mean,mix_gmvp_var_mean,roll_gmvp_var_mean,pers_gmvp_var_mean,shrink_gmvp_var_mean,model_gmvp_vol_mean,mix_gmvp_vol_mean,roll_gmvp_vol_mean,pers_gmvp_vol_mean,shrink_gmvp_vol_mean,model_turnover_l1_mean,mix_turnover_l1_mean,roll_turnover_l1_mean,pers_turnover_l1_mean,shrink_turnover_l1_mean,_objective
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=2.0|k_neighbors=10,fuzzy_cmeans,lp_p1,40,2.0,10,fro,0.02357054363877828,0.02227084331374829,1016.323446729023,821.7408816937026,96.9020107712755,92.7391431853745,1.9426998684909287,1.8133334994181691,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001102822222519069,9.825871209182823e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008388990142546881,0.007862685933427236,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.2654816115402642,0.18383007427151804,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9426998684909287
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=2.0|k_neighbors=10,fuzzy_cmeans,l1,40,2.0,10,fro,0.02357054363877828,0.02227084331374829,1016.323446729023,821.7408816937026,96.9020107712755,92.7391431853745,1.9426998684909287,1.8133334994181691,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001102822222519069,9.825871209182823e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008388990142546881,0.007862685933427236,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.2654816115402642,0.18383007427151804,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9426998684909287
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=2.0|k_neighbors=50,fuzzy_cmeans,lp_p1,40,2.0,50,fro,0.023570372625625325,0.0222706805426743,1016.2377850042695,821.7376397306929,96.89939061470676,92.73794311958855,1.9425369823562604,1.813273244300625,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011027942556150253,9.825773005540895e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.0083888439915216,0.007862628324963657,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.2655614546343481,0.1838744487851691,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9425369823562604
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=2.0|k_neighbors=50,fuzzy_cmeans,l1,40,2.0,50,fro,0.023570372625625325,0.0222706805426743,1016.2377850042695,821.7376397306929,96.89939061470676,92.73794311958855,1.9425369823562604,1.813273244300625,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011027942556150253,9.825773005540895e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.0083888439915216,0.007862628324963657,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.2655614546343481,0.1838744487851691,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9425369823562604
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=1.0|k_neighbors=50,fuzzy_cmeans,l1,40,1.0,50,fro,0.023564863657080475,0.02229537765640427,848.3824845020764,811.8871097979296,100.67381350407302,94.22069328008136,1.9421721152678404,1.8096433630772817,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122141052450008,9.854256482516614e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449680759506707,0.007883094034458861,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18921669968462987,0.16030747326953776,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9421721152678404
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=1.0|k_neighbors=50,fuzzy_cmeans,lp_p1,40,1.0,50,fro,0.023564863657080475,0.02229537765640427,848.3824845020764,811.8871097979296,100.67381350407302,94.22069328008136,1.9421721152678404,1.8096433630772817,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122141052450008,9.854256482516614e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449680759506707,0.007883094034458861,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18921669968462987,0.16030747326953776,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9421721152678404
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=40|tau=1.0|k_neighbors=10,fuzzy_cmeans,lp_p1,40,1.0,10,fro,0.02356486365708048,0.02229537765640427,848.3824845021037,811.8871097979454,100.67381350407304,94.22069328008138,1.9421721152678402,1.8096433630772817,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122141052450008,9.854256482516614e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449680759506707,0.007883094034458863,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.1892166996846298,0.1603074732695378,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9421721152678402
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=40|tau=1.0|k_neighbors=10,fuzzy_cmeans,l1,40,1.0,10,fro,0.02356486365678899,0.02229537765626777,848.382484505063,811.8871097994365,100.6738135044696,94.22069328037618,1.9421721152348472,1.8096433630634012,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.0001112214105249967,9.854256482519166e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449680759540187,0.007883094034460605,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18921669968036375,0.16030747326812164,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.9421721152348472
grid,regime_clustering=fuzzy_cmeans|knn_metric=lp_p1|pca_k=48|tau=1.0|k_neighbors=50,fuzzy_cmeans,lp_p1,48,1.0,50,fro,0.023564864405431207,0.02229537763367975,848.382501000185,811.8871143128621,100.6738159947813,94.22069498331818,1.942172065479101,1.8096433560480027,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122141791497332,9.854256656164297e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449681047639854,0.007883094098146902,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18921662542728748,0.16030745465373977,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.942172065479101
grid,regime_clustering=fuzzy_cmeans|knn_metric=l1|pca_k=48|tau=1.0|k_neighbors=50,fuzzy_cmeans,l1,48,1.0,50,fro,0.023564864405431207,0.02229537763367975,848.382501000185,811.8871143128621,100.6738159947813,94.22069498331818,1.942172065479101,1.8096433560480027,1.7135923302516392,1.8721791255621012,1.7593225134587016,0.00011122141791497332,9.854256656164297e-05,9.169864546857039e-05,9.35057756451335e-05,9.577285016414471e-05,0.008449681047639854,0.007883094098146902,0.007647098813298827,0.007892559424140699,0.007764875443503471,0.18921662542728748,0.16030745465373977,0.2392887989721949,0.4456611046578845,0.18028667620418165,1.942172065479101
